source_id,research_question,mechanism,method,main_findings,mathematics,limitations,implementation_details,supports,weakens,math_relevance,verification,review_status,evidence_confidence
sumers-2024-coala,How can language agents be decomposed into a reusable cognitive architecture?,"A modular loop over working memory, long-term memory, grounded actions, decision making, and learning.",Conceptual synthesis maps cognitive-science constructs onto representative language-agent systems rather than testing one intervention.,"CoALA supplies a useful architecture-level vocabulary and separates internal from external actions. || Its principal contribution is a framework for comparison, not evidence that one memory or control design improves performance.","The architecture can be expressed as a partially observable decision process with state, observation, memory update, and action-selection functions; the paper does not prove a performance theorem.","Taxonomy boundaries are author-chosen, systems evolved after publication, and empirical causal support is limited.","Treat memory stores, retrieval, decision procedures, and grounded action spaces as separately versioned harness components.",An agent should be analyzed as model plus memory plus action and update machinery.,A single scalar benchmark score does not identify which cognitive component caused an outcome.,Provides state variables and transition structure for a formal harness model.,"Abstract, architecture sections, taxonomy figures, and conclusion checked in the local PDF.",skimmed,medium
wang-2024-autonomous-agent-survey,"What components, applications, and evaluation practices define LLM-based autonomous agents?","Planning, memory, tool use, and action modules arranged around a foundation model.","Broad literature survey organized by construction, applications, and evaluation.","The survey documents recurring planning, memory, and tool interfaces across early agents. || It shows that evaluation was fragmented across task-specific benchmarks and qualitative demonstrations.",Mostly taxonomic; MDP and planning notation are inherited from cited work rather than developed into new guarantees.,Rapidly dated and broad; inclusion and comparison do not establish causal effectiveness.,"Useful as a terminology map and backward-citation source, not as a quantitative effect estimate.",Harness mechanisms recur across nominally different agent products.,Framework popularity or citation frequency is not evidence of engineering superiority.,Defines candidate factors for a factorial model of agent performance.,"Abstract, component taxonomy, evaluation discussion, and conclusion checked in the local PDF.",skimmed,medium
xi-2023-rise-agent-survey,"How should LLM agents be conceptualized across brain, perception, and action modules?","A brain-perception-action architecture with profiling, memory, planning, and tool-mediated environment interaction.",Survey synthesizes methods and applications and proposes a general conceptual framework.,"It helped establish the now-common decomposition of agent systems into model-centered reasoning plus external perception and action. || The paper identifies memory, planning, and feedback as open engineering bottlenecks.",Uses qualitative mappings to agent and decision-process concepts; no new estimator or theorem.,"Very broad scope, mostly pre-2024 evidence, and limited controlled comparison between mechanisms.","Its component map is helpful for naming harness boundaries but must be updated with event sourcing, sandboxing, and evaluation controls.",The surrounding execution system is part of the agent's effective behavior.,Anthropomorphic labels such as brain do not supply an operational specification.,Supplies a first-pass factorization whose variables can be operationalized mathematically.,"Abstract, framework overview, evaluation section, and limitations checked in the local PDF.",skimmed,medium
li-2025-agent-paradigms,"What major paradigms organize tool use, planning and retrieval, and feedback learning in LLM agents?","Tool invocation, RAG-assisted planning, and feedback-driven adaptation.","Structured review of prominent paradigms with comparative discussion of strengths, weaknesses, and benchmarks.","The review connects tool use, planning or RAG, and feedback learning as coupled rather than independent modules. || It emphasizes that gains depend on task and evaluator design.","Primarily a taxonomy; mathematical formulations summarize cited retrieval, planning, and learning objectives.",Review-level evidence cannot isolate component effects and terminology overlaps across categories.,"Use the three paradigms as interacting experimental factors, with budgets and information access held fixed.",Harness design is a coupled optimization problem rather than a menu of independent features.,Claims that one universal agent paradigm dominates across tasks.,Motivates interaction terms in a factorial model of harness mechanisms.,"Abstract, organizing taxonomy, comparative sections, and conclusion checked in the local PDF.",skimmed,medium
yehudai-2026-agent-evaluation-survey,"How are LLM agents evaluated, and where do current protocols fail?","Evaluation harnesses spanning environments, trajectories, capability dimensions, and graders.","Survey classifies benchmarks, metrics, environments, and evaluation challenges across agent domains.","Evaluation choices are themselves harness components that shape observed capability. || The literature lacks consistent reporting of budgets, environment versions, reliability, and safety.","Summarizes success-rate, efficiency, robustness, and trajectory metrics; no single universal estimator is justified.",Coverage depends on available publications and fast-moving benchmarks; survey categories do not validate graders.,"Version task environments and scorers, log trajectories, and report uncertainty and repeated-run reliability.","Agent evaluation must include process, cost, and robustness, not only final task reward.",Leaderboard point estimates as context-free model properties.,Provides the measurement dimensions needed for a multivariate response model.,"Abstract, benchmark taxonomy, metric discussion, challenges, and conclusion checked in the local PDF.",skimmed,medium
barbaste-2026-harness-anatomy,What do production coding-agent harnesses actually implement in source code?,"Seven canonical subsystems covering loop, tools, context, safety, orchestration, persistence, and extension surfaces.",Source-code anatomy of eleven production coding harnesses plus one meta-harness contrast; it describes and compares rather than ranks them.,"The systems share a small model-action-observation core but diverge substantially in state ownership, context policy, recovery, and safety. || Thirteen cross-cutting patterns show that product labels hide materially different runtime semantics.",The paper gives structural decompositions and state-machine intuition but no performance theorem or causal estimator.,All systems are moving targets; the sample favors coding agents; absence of benchmarking means prevalence is not effectiveness.,"Pin repository commit, provider layer, loop semantics, state store, tool protocol, and containment policy when citing any system.",Harnesses are independently specifiable software systems whose mechanisms can be compared.,Framework names alone as adequate experimental treatment labels.,Its subsystem coding supports a categorical design matrix for later factorial studies.,"Abstract, sampling protocol, subsystem anatomy, cross-system tables, and conclusion checked in the local PDF.",skimmed,high
zhong-2026-harness-runtime,What runtime responsibilities are required for verifiable software-agent work?,"Eleven responsibilities and an H0-H3 ladder that progressively adds context, evidence, attribution, verification, and intervention records.",The framework is applied to a controlled validation task and compares the evidence structure of episode packages at successive harness levels.,"Higher levels produce reproduction logs, failure attribution, deterministic requirement checks, and structured verification rather than only a final patch. || The study demonstrates auditability artifacts, not a broad task-success improvement.","A run can be modeled as a trace-valued transition system; the ladder is an ordinal architecture scale, not a validated interval metric.","Two-author preprint, narrow validation task, and no randomized performance comparison.","Store each run as a versioned episode package containing inputs, actions, observations, changes, checks, and interventions.",Correctness evidence and failure attribution are first-class harness outputs.,Patch production alone as evidence that an issue is solved.,Motivates trace semantics and evidence-valued outcomes rather than binary reward alone.,"Abstract, eleven responsibilities, H0-H3 ladder, validation task, and conclusion checked in the local PDF.",skimmed,medium
ahn-2026-prompts-contracts,Can deterministic contracts around a replaceable LLM make enterprise agents auditable across models?,"Code-owned manifests, schemas, routing, source boundaries, output hygiene, and validation gates around a model composition boundary.","Public-data case over five Korean groups and 25 companies; three hosted models, 270 composition-boundary runs, fault injection, prompt-only and bolt-on guardrail ablations.","Harness contracts held in all 270 composition-boundary runs and injected faults were detected. || Prompt instructions alone leaked violations; an external guardrail blocked them but reduced utility to 88/120, whereas code-owned enforcement retained 120/120 in the reported ablation.","The contract layer is naturally expressed as predicates over inputs, traces, and outputs; the paper reports finite validation counts rather than probabilistic guarantees.","Author-built finance slice, fixed scenarios, hosted-model dependence, and new unreplicated preprint.",Move invariant behavior from prose prompts into executable predicates and preserve model substitution behind a narrow boundary.,Deterministic harness checks can preserve selected safety and audit properties across model substitution.,Prompt compliance as a dependable enforcement mechanism.,Supports formal specification of safety properties and empirical false-accept or false-reject rates.,"Abstract, RQ setup, 270-run result, fault injection, guardrail ablation, and limitations checked in the local PDF.",skimmed,medium
lin-2026-agentic-harness-evolution,Can execution traces support automatic and attributable evolution of coding-agent harnesses?,"A closed loop with component, experience, and decision observability; proposed edits are reversible and paired with falsifiable predictions.",An evolving agent edits file-level harness components using distilled trajectory evidence and evaluates subsequent task outcomes.,"The work argues that layered trace distillation makes a heterogeneous harness action space tractable. || Decision records connect each change to an expected effect, improving attribution compared with blind score hill-climbing.",Outer-loop optimization can be written as sequential noisy black-box search over harness code with logged hypotheses; no general convergence guarantee is established.,Recent preprint; multiple observability mechanisms move together; benchmark search can overfit and detailed external replication is absent.,"Represent every editable component as versioned code, retain drill-down evidence, and accept changes only with measured validation.",Observability can turn harness changes into auditable experiments.,A rising optimization score as proof of general harness improvement.,Provides a sequential-experimental-design framing with noisy rewards and versioned interventions.,"Abstract, three observability pillars, optimization loop, evaluation sections, and limitations checked in the local PDF.",skimmed,medium
dhage-2026-deterministic-harness,Do deterministic control constraints reduce run-to-run agent variance without destroying task success?,"Finite-state execution, forced one-tool selection, validation, bounded retry, and an added structured-planning stage.","Two synthetic regulated-domain tasks, two open models, 100 runs per model-task-condition cell, bootstrap intervals and significance tests.","The first-pass harness helped reproducibility in one of four cells, harmed two, and had no significant effect in one. || Adding structured planning yielded reproducibility and determinism indices of 1.000 in all four cells and 100% task success in three, while latency effects reversed by model.",Defines reproducibility rate and a determinism index over action structure; uses bootstrap confidence intervals and cell-level hypothesis tests.,Only two synthetic tasks and two models; exact-match reproducibility may reward rigid but wrong behavior; authors iterated after seeing first-stage failures.,"Validate a structured plan before any tool call, constrain transitions, and separately measure token cost, latency, reproducibility, and correctness.","Harness constraints can remove execution variance, but only after diagnosing model-specific failure modes.",Determinism as automatically beneficial or cost-free.,Offers measurable stochastic-process outputs and a caution against pooling heterogeneous cells.,"Abstract, Tables 1-3, sample sizes, bootstrap protocol, latency analysis, and conclusion checked in the local PDF.",fully-reviewed,medium
jin-2026-heart-tool-primitives,Can natural-language tool wrappers and retrieval reduce schema brittleness and catalog overload?,"Tool Primitives wrap APIs with an LLM interface; ToolFace retrieves from 25,519 functions; planner, router, executor, and verifier stages orchestrate calls.","ToolBench evaluation plus 50 curated real tasks, commercial baselines, a verifier, and at most three replanning attempts.","HEART reports 75.1% ToolBench pass and 75.7% win, only 1.7 and 1.9 points above its strongest commercial baseline. || On 50 curated tasks it reports 84% versus a 22% commercial-model average.","Defines a tool set, primitive mapping, sufficiency decision, verifier family, and replanning budget B=3; no theorem.","Three-day-old v1 at the cutoff, author registry and curated tasks, and several components change together.","Retrieve only relevant wrappers, normalize heterogeneous schemas behind natural language, and make verification and retry budgets explicit.",Tool interface design and catalog selection can be major harness variables.,Large headline gains as attributable to one primitive without factorial ablation.,Supplies typed mappings and bounded-loop notation for tool orchestration.,"Abstract, architecture, Table 1, 50-task study, verifier and budget definitions checked in the local PDF.",fully-reviewed,low
ruaibox-2026-agent-systems-harness,How should harness engineering be defined and organized across agent systems?,"Joint optimization of workflow, memory, skills, context, error recovery, and multi-agent orchestration around a model.","Systematic survey and comparative taxonomy of agent systems, optimization strategies, and benchmarks.",The paper formalizes harness engineering as infrastructure that closes the gap between a single-turn generator and stateful problem solving. || It treats model and harness as synergistic and catalogues design tradeoffs rather than establishing a causal effect size.,"Uses workflow, memory, skill, and orchestration abstractions; mathematical content is largely inherited from cited work.","Survey/preprint evidence, fast-moving system sample, and possible author curation bias in the accompanying awesome list.","Use its component taxonomy for discovery, then validate consequential claims against original papers and source code.",Harness engineering is a coherent system-level research object.,A survey taxonomy as proof that each included mechanism works.,Offers variables for a coupled model-harness optimization problem.,"Abstract, definition, design taxonomy, model-adaptation section, evaluation map, and conclusion checked in the local PDF.",skimmed,medium
