source_id,category,year,title,landing_url,pdf_url,publication_status
sumers-2024-coala,foundations,2024,"Cognitive Architectures for Language Agents",https://arxiv.org/abs/2309.02427,https://arxiv.org/pdf/2309.02427,TMLR
wang-2024-autonomous-agent-survey,foundations,2024,"A Survey on Large Language Model based Autonomous Agents",https://arxiv.org/abs/2308.11432,https://arxiv.org/pdf/2308.11432,Frontiers of Computer Science
xi-2023-rise-agent-survey,foundations,2023,"The Rise and Potential of Large Language Model Based Agents: A Survey",https://arxiv.org/abs/2309.07864,https://arxiv.org/pdf/2309.07864,preprint
li-2025-agent-paradigms,foundations,2025,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use, Planning Including RAG, and Feedback Learning",https://aclanthology.org/2025.coling-main.652/,https://aclanthology.org/2025.coling-main.652.pdf,COLING-2025
yehudai-2026-agent-evaluation-survey,foundations,2026,"A Survey on Evaluation of LLM-based Agents",https://aclanthology.org/2026.findings-acl.1330/,https://aclanthology.org/2026.findings-acl.1330.pdf,Findings-ACL-2026
barbaste-2026-harness-anatomy,harness-engineering,2026,"Harness Engineering: Anatomy, Architecture, and Evolution of Coding Agents -- A Source-Code Study of Eleven Systems",https://arxiv.org/abs/2609.00006,https://arxiv.org/pdf/2609.00006,preprint
zhong-2026-harness-runtime,harness-engineering,2026,"AI Harness Engineering: A Runtime Substrate for Foundation-Model Software Agents",https://arxiv.org/abs/2605.13357,https://arxiv.org/pdf/2605.13357,preprint
ahn-2026-prompts-contracts,harness-engineering,2026,"From Prompts to Contracts: Harness Engineering for Auditable Enterprise LLM Agents",https://arxiv.org/abs/2607.08028,https://arxiv.org/pdf/2607.08028,preprint
lin-2026-agentic-harness-evolution,harness-engineering,2026,"Agentic Harness Engineering: Observability-Driven Automatic Evolution of Coding-Agent Harnesses",https://arxiv.org/abs/2604.25850,https://arxiv.org/pdf/2604.25850,preprint
dhage-2026-deterministic-harness,harness-engineering,2026,"Harness Engineering for Predictable Agentic Systems: An Empirical Study of Deterministic Execution Constraints",https://arxiv.org/abs/2608.26197,https://arxiv.org/pdf/2608.26197,preprint
jin-2026-heart-tool-primitives,harness-engineering,2026,"Harness Engineering in LLM Tool Use via Agent-Native Reusable Tool Primitives",https://arxiv.org/abs/2609.01736,https://arxiv.org/pdf/2609.01736,preprint
ruaibox-2026-agent-systems-harness,harness-engineering,2026,"Agent Systems with Harness Engineering",https://openreview.net/forum?id=nM5tDHrQsx,https://raw.githubusercontent.com/RUCAIBox/awesome-agent-harness/main/Agent_Systems_with_Harness_Engineering.pdf,OpenReview-2026
hariri-2026-test-time-scaling-survey,foundations,2026,"Test-Time Scaling in Reasoning LLMs: Inference Regimes, Evaluation, and Reproducibility",https://arxiv.org/abs/2608.04001,https://arxiv.org/pdf/2608.04001,preprint
xu-2026-polar,harness-engineering,2026,"Polar: Agentic RL on Any Harness at Scale",https://arxiv.org/abs/2605.24220,https://arxiv.org/pdf/2605.24220,preprint
yao-2023-react,tool-use,2023,"ReAct: Synergizing Reasoning and Acting in Language Models",https://arxiv.org/abs/2210.03629,https://arxiv.org/pdf/2210.03629,ICLR-2023
karpas-2022-mrkl,tool-use,2022,"MRKL Systems: A modular neuro-symbolic architecture that combines large language models external knowledge sources and discrete reasoning",https://arxiv.org/abs/2205.00445,https://arxiv.org/pdf/2205.00445,preprint
schick-2023-toolformer,tool-use,2023,"Toolformer: Language Models Can Teach Themselves to Use Tools",https://arxiv.org/abs/2302.04761,https://arxiv.org/pdf/2302.04761,NeurIPS-2023
paranjape-2023-art,tool-use,2023,"ART: Automatic multi-step reasoning and tool-use for large language models",https://arxiv.org/abs/2303.09014,https://arxiv.org/pdf/2303.09014,preprint
shen-2023-hugginggpt,tool-use,2023,"HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face",https://arxiv.org/abs/2303.17580,https://arxiv.org/pdf/2303.17580,NeurIPS-2023
li-2023-api-bank,tool-use,2023,"API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs",https://arxiv.org/abs/2304.08244,https://arxiv.org/pdf/2304.08244,EMNLP-2023
patil-2023-gorilla,tool-use,2023,"Gorilla: Large Language Model Connected with Massive APIs",https://arxiv.org/abs/2305.15334,https://arxiv.org/pdf/2305.15334,preprint
song-2023-restgpt,tool-use,2023,"RestGPT: Connecting Large Language Models with Real-World RESTful APIs",https://arxiv.org/abs/2306.06624,https://arxiv.org/pdf/2306.06624,preprint
