"source_id","category","title","publication_status","landing_url","pdf_url","pdf_path","bytes","pages","encrypted","sha256","accessed","fetch_status"
"aleithan-2024-swe-bench-plus","coding-and-evaluation","SWE-Bench+: Enhanced Coding Benchmark for LLMs","preprint","https://arxiv.org/abs/2410.06992","https://arxiv.org/pdf/2410.06992","papers/academic/aleithan-2024-swe-bench-plus.pdf","663868","14","no","5b845ad1617b5abb71f5ab2c11831ea0dde7a6a25f43e618056327c3e782ea2c","2026-09-04","verified-existing"
"badertdinov-2025-swe-rebench","coding-and-evaluation","SWE-rebench: An Automated Pipeline for Task Collection and Decontaminated Evaluation of Software Engineering Agents","NeurIPS-2025","https://arxiv.org/abs/2505.20411","https://arxiv.org/pdf/2505.20411","papers/academic/badertdinov-2025-swe-rebench.pdf","778512","40","no","5d514a4d2bb375763bd12f71140a79e721e29adab8ec192ebd7215d7c93c4d8c","2026-09-04","verified-existing"
"jimenez-2024-swe-bench","coding-and-evaluation","SWE-bench: Can Language Models Resolve Real-World GitHub Issues?","ICLR-2024","https://arxiv.org/abs/2310.06770","https://arxiv.org/pdf/2310.06770","papers/academic/jimenez-2024-swe-bench.pdf","4533722","52","no","f7e8e1df64129742b8199a21a042734519a823a1dafd6f48f8f3ddcfb48ee296","2026-09-04","verified-existing"
"kapoor-2024-agents-matter","coding-and-evaluation","AI Agents That Matter","preprint","https://arxiv.org/abs/2407.01502","https://arxiv.org/pdf/2407.01502","papers/academic/kapoor-2024-agents-matter.pdf","1235369","33","no","1681013e0421f9d193ca5bb556b566f50d1e5eaa43d7a9700a31ca3dd0e2ff7a","2026-09-04","verified-existing"
"kapoor-2026-hal","coding-and-evaluation","Holistic Agent Leaderboard: The Missing Infrastructure for AI Agent Evaluation","ICLR-2026","https://arxiv.org/abs/2510.11977","https://arxiv.org/pdf/2510.11977","papers/academic/kapoor-2026-hal.pdf","12428285","66","no","f224b5ef6ec2a9e1606878e39e81acd4e0ed8ac9f4d80b120f17266c5c281d0f","2026-09-04","verified-existing"
"kwa-2025-long-software-tasks","coding-and-evaluation","Measuring AI Ability to Complete Long Software Tasks","NeurIPS-2025","https://papers.nips.cc/paper_files/paper/2025/hash/85069585133c4c168c865e65d72e9775-Abstract-Conference.html","https://papers.nips.cc/paper_files/paper/2025/file/85069585133c4c168c865e65d72e9775-Paper-Conference.pdf","papers/academic/kwa-2025-long-software-tasks.pdf","6903377","54","no","460e6d25522be8a6d83a13bbedf8f691cc4cfadc12a3e57adb783647515d1c60","2026-09-04","verified-existing"
"liu-2023-agentbench","coding-and-evaluation","AgentBench: Evaluating LLMs as Agents","ICLR-2024","https://arxiv.org/abs/2308.03688","https://arxiv.org/pdf/2308.03688","papers/academic/liu-2023-agentbench.pdf","23017024","58","no","9c780e35fc0b2de6c2e21e0572f6aaaadcf7ecdd56d63cfaae2b415bc0dc83c3","2026-09-04","verified-existing"
"ma-2024-agentboard","coding-and-evaluation","AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents","NeurIPS-2024","https://arxiv.org/abs/2401.13178","https://arxiv.org/pdf/2401.13178","papers/academic/ma-2024-agentboard.pdf","4192031","38","no","05299b4bd716de2769ec6f23ff358db1dbef6b2eac7a643e9e3e8eed0e62c2ef","2026-09-04","verified-existing"
"mialon-2023-gaia","coding-and-evaluation","GAIA: a benchmark for General AI Assistants","ICLR-2024","https://arxiv.org/abs/2311.12983","https://arxiv.org/pdf/2311.12983","papers/academic/mialon-2023-gaia.pdf","4254059","24","no","5bf6f968d4f5cd20acdfca6e81e3c9f5277bb66061fad7a02e35442dff812ba0","2026-09-04","verified-existing"
"pan-2023-reasoning-action-eval","coding-and-evaluation","On Evaluating the Integration of Reasoning and Action in LLM Agents","preprint","https://arxiv.org/abs/2311.09721","https://arxiv.org/pdf/2311.09721","papers/academic/pan-2023-reasoning-action-eval.pdf","648664","16","no","465fd5d7fa6594115aa7764008711b7d9f4fee22eb050098e10feae7055a194b","2026-09-04","verified-existing"
