source_id,arxiv_id,title,authors,published,updated,primary_category,categories,doi,journal_reference,metadata_source
sumers-2024-coala,2309.02427,Cognitive Architectures for Language Agents,Theodore R. Sumers; Shunyu Yao; Karthik Narasimhan; Thomas L. Griffiths,2023-09-05T17:56:20Z,2024-03-15T15:44:11Z,cs.AI,cs.AI; cs.CL; cs.LG; cs.SC,,,arXiv API
wang-2024-autonomous-agent-survey,2308.11432,A Survey on Large Language Model based Autonomous Agents,Lei Wang; Chen Ma; Xueyang Feng; Zeyu Zhang; Hao Yang; Jingsen Zhang; Zhiyuan Chen; Jiakai Tang; Xu Chen; Yankai Lin; Wayne Xin Zhao; Zhewei Wei; Ji-Rong Wen,2023-08-22T13:30:37Z,2025-03-02T04:04:03Z,cs.AI,cs.AI; cs.CL,10.1007/s11704-024-40231-1,,arXiv API
xi-2023-rise-agent-survey,2309.07864,The Rise and Potential of Large Language Model Based Agents: A Survey,Zhiheng Xi; Wenxiang Chen; Xin Guo; Wei He; Yiwen Ding; Boyang Hong; Ming Zhang; Junzhe Wang; Senjie Jin; Enyu Zhou; Rui Zheng; Xiaoran Fan; Xiao Wang; Limao Xiong; Yuhao Zhou; Weiran Wang; Changhao Jiang; Yicheng Zou; Xiangyang Liu; Zhangyue Yin; Shihan Dou; Rongxiang Weng; Wensen Cheng; Qi Zhang; Wenjuan Qin; Yongyan Zheng; Xipeng Qiu; Xuanjing Huang; Tao Gui,2023-09-14T17:12:03Z,2023-09-19T08:29:18Z,cs.AI,cs.AI; cs.CL,,,arXiv API
li-2025-agent-paradigms,,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use, Planning Including RAG, and Feedback Learning",Xinzhe Li,,,,,,,ACL Anthology record
yehudai-2026-agent-evaluation-survey,,A Survey on Evaluation of LLM-based Agents,Asaf Yehudai; Lilach Eden; Alan Li; Guy Uziel; Yilun Zhao; Roy Bar-Haim; Arman Cohan; Michal Shmueli-Scheuer,,,,,,,ACL Anthology record
barbaste-2026-harness-anatomy,2609.00006,"Harness Engineering: Anatomy, Architecture, and Evolution of Coding Agents -- A Source-Code Study of Eleven Systems",Paul Barbaste; Tristan Darrigol; Germain Vu; Tom Wiltberger,2026-07-15T10:33:30Z,2026-07-15T10:33:30Z,cs.SE,cs.SE; cs.MA,,,arXiv API
zhong-2026-harness-runtime,2605.13357,AI Harness Engineering: A Runtime Substrate for Foundation-Model Software Agents,Hailin Zhong; Shengxin Zhu,2026-05-13T11:14:59Z,2026-05-13T11:14:59Z,cs.SE,cs.SE; cs.AI,,,arXiv API
ahn-2026-prompts-contracts,2607.08028,From Prompts to Contracts: Harness Engineering for Auditable Enterprise LLM Agents,Joongho Ahn; Moonsoo Kim,2026-07-09T01:08:33Z,2026-07-09T01:08:33Z,cs.AI,cs.AI; cs.CL; cs.SE,,,arXiv API
lin-2026-agentic-harness-evolution,2604.25850,Agentic Harness Engineering: Observability-Driven Automatic Evolution of Coding-Agent Harnesses,Jiahang Lin; Shichun Liu; Chengjun Pan; Lizhi Lin; Shihan Dou; Zhiheng Xi; Xuanjing Huang; Hang Yan; Zhenhua Han; Tao Gui; Yu-Gang Jiang,2026-04-28T16:55:02Z,2026-05-18T15:11:47Z,cs.CL,cs.CL; cs.SE,,,arXiv API
dhage-2026-deterministic-harness,2608.26197,Harness Engineering for Predictable Agentic Systems: An Empirical Study of Deterministic Execution Constraints,Saransh Dhage,2026-08-25T07:46:50Z,2026-08-25T07:46:50Z,cs.SE,cs.SE,,,arXiv API
jin-2026-heart-tool-primitives,2609.01736,Harness Engineering in LLM Tool Use via Agent-Native Reusable Tool Primitives,Haibo Jin; Suijin Wang; Xucheng Yu; Haojing Luo; Haohan Wang,2026-09-01T18:07:09Z,2026-09-01T18:07:09Z,cs.SE,cs.SE; cs.AI; cs.CL; cs.LG; cs.MA,,,arXiv API
