source_id,title,authors_or_org,year,source_class,publication_status,canonical_url,pdf_path,note_path,accessed,sha256,review_status,license_or_access_notes
abuzakuk-2026-awo,Optimizing Agentic Workflows using Meta-tools,Sami Abuzakuk; Anne-Marie Kermarrec; Rishi Sharma; Rasmus Moorits Veski; Martijn de Vos,2026,academic-preprint,preprint,https://arxiv.org/abs/2601.22037,papers/academic/abuzakuk-2026-awo.pdf,paper-notes/abuzakuk-2026-awo.md,2026-09-04,97f856b6c45a66870a9323359f260d8df8b8f66785b0ae96837b8672ccd140ff,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
agrawal-2025-gepa,GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning,Lakshya A Agrawal; Shangyin Tan; Dilara Soylu; Noah Ziems; Rishi Khare; Krista Opsahl-Ong; Arnav Singhvi; Herumb Shandilya; Michael J Ryan; Meng Jiang; Christopher Potts; Koushik Sen; Alexandros G. Dimakis; Ion Stoica; Dan Klein; Matei Zaharia; Omar Khattab,2025,academic-publication,ICLR-2026,https://arxiv.org/abs/2507.19457,papers/academic/agrawal-2025-gepa.pdf,paper-notes/agrawal-2025-gepa.md,2026-09-04,ab3a5139bac83f192ad67529368d77b84b0d807e95a8e4fd0daa8d45fd046bec,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
ahn-2026-prompts-contracts,From Prompts to Contracts: Harness Engineering for Auditable Enterprise LLM Agents,Joongho Ahn; Moonsoo Kim,2026,academic-preprint,preprint,https://arxiv.org/abs/2607.08028,papers/academic/ahn-2026-prompts-contracts.pdf,paper-notes/ahn-2026-prompts-contracts.md,2026-09-04,d90ad4ee4e445512e930a291fee7d10ec43c662e7a920eccafd6740cd6f8eb64,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
aleithan-2024-swe-bench-plus,SWE-Bench+: Enhanced Coding Benchmark for LLMs,Reem Aleithan; Haoran Xue; Mohammad Mahdi Mohajer; Elijah Nnorom; Gias Uddin; Song Wang,2024,academic-preprint,preprint,https://arxiv.org/abs/2410.06992,papers/academic/aleithan-2024-swe-bench-plus.pdf,paper-notes/aleithan-2024-swe-bench-plus.md,2026-09-04,5b845ad1617b5abb71f5ab2c11831ea0dde7a6a25f43e618056327c3e782ea2c,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
alur-2013-sygus,Syntax-Guided Synthesis,Rajeev Alur; Rastislav Bodik; Garvit Juniwal; Milo M. K. Martin; Mukund Raghothaman; Sanjit A. Seshia; Rishabh Singh; Armando Solar-Lezama; Emina Torlak; Abhishek Udupa,2013,academic-publication,FMCAD-2013,https://doi.org/10.1109/FMCAD.2013.6679385,papers/academic/alur-2013-sygus.pdf,paper-notes/alur-2013-sygus.md,2026-09-04,ed46aeb2ac50ff93169331b92b11ecd03ffa3bcc43acddd29b468e9913dabaf7,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
anthropic-2024-building-effective-agents,Building Effective Agents,Anthropic,2024,engineering-blog,non-peer-reviewed practitioner source,https://www.anthropic.com/engineering/building-effective-agents,,source-notes/anthropic-2024-building-effective-agents.md,2026-09-04,,reviewed,Canonical web page reviewed; no redistributed snapshot archived.; snapshot: web version accessed 2026-09-04
anthropic-2025-context-engineering,Effective Context Engineering for AI Agents,Anthropic,2025,engineering-blog,non-peer-reviewed practitioner source,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,,source-notes/anthropic-2025-context-engineering.md,2026-09-04,,reviewed,Canonical web page reviewed; no redistributed snapshot archived.; snapshot: web version accessed 2026-09-04
anthropic-2025-long-running-agents,Effective Harnesses for Long-Running Agents,Anthropic,2025,engineering-blog,non-peer-reviewed practitioner source,https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents,,source-notes/anthropic-2025-long-running-agents.md,2026-09-04,,reviewed,Canonical web page reviewed; no redistributed snapshot archived.; snapshot: web version accessed 2026-09-04
anthropic-2025-multi-agent-research,How We Built Our Multi-Agent Research System,Anthropic,2025,engineering-blog,non-peer-reviewed practitioner source,https://www.anthropic.com/engineering/multi-agent-research-system,,source-notes/anthropic-2025-multi-agent-research.md,2026-09-04,,reviewed,Canonical web page reviewed; no redistributed snapshot archived.; snapshot: web version accessed 2026-09-04
anthropic-2026-agent-evals,Demystifying Evals for AI Agents,Anthropic,2026,engineering-blog,non-peer-reviewed practitioner source,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,,source-notes/anthropic-2026-agent-evals.md,2026-09-04,,reviewed,Canonical web page reviewed; no redistributed snapshot archived.; snapshot: web version accessed 2026-09-04
anthropic-2026-harness-design,Harness Design for Long-Running Application Development,Prithvi Rajasekaran / Anthropic,2026,engineering-blog,non-peer-reviewed practitioner source,https://www.anthropic.com/engineering/harness-design-long-running-apps,,source-notes/anthropic-2026-harness-design.md,2026-09-04,,reviewed,Canonical web page reviewed; no redistributed snapshot archived.; snapshot: web version accessed 2026-09-04
anthropic-2026-infrastructure-noise,Quantifying Infrastructure Noise in Agentic Coding Evals,Anthropic,2026,engineering-blog,non-peer-reviewed practitioner source,https://www.anthropic.com/engineering/infrastructure-noise,,source-notes/anthropic-2026-infrastructure-noise.md,2026-09-04,,reviewed,Canonical web page reviewed; no redistributed snapshot archived.; snapshot: web version accessed 2026-09-04
anthropic-2026-managed-agents,Scaling Managed Agents: Decoupling the Brain from the Hands,Anthropic,2026,engineering-blog,non-peer-reviewed practitioner source,https://www.anthropic.com/engineering/managed-agents,,source-notes/anthropic-2026-managed-agents.md,2026-09-04,,reviewed,Canonical web page reviewed; no redistributed snapshot archived.; snapshot: web version accessed 2026-09-04
