source_id,category,pdf_path,pages,text_characters,pages_without_text,metadata_title,metadata_author,parse_status,parse_error
sumers-2024-coala,foundations,papers/academic/sumers-2024-coala.pdf,32,122125,0,,,ok,
wang-2024-autonomous-agent-survey,foundations,papers/academic/wang-2024-autonomous-agent-survey.pdf,42,152433,0,,,ok,
xi-2023-rise-agent-survey,foundations,papers/academic/xi-2023-rise-agent-survey.pdf,86,348240,0,,,ok,
li-2025-agent-paradigms,foundations,papers/academic/li-2025-agent-paradigms.pdf,20,59616,0,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use, Planning (Including RAG), and Feedback Learning",Xinzhe Li,ok,
yehudai-2026-agent-evaluation-survey,foundations,papers/academic/yehudai-2026-agent-evaluation-survey.pdf,25,115507,0,,,ok,
barbaste-2026-harness-anatomy,harness-engineering,papers/academic/barbaste-2026-harness-anatomy.pdf,83,278048,0,"Harness Engineering: Anatomy, Architecture, and Evolution of Coding Agents – A Source-Code Study of Eleven Systems",Paul Barbaste; Tristan Darrigol; Germain Vu; Tom Wiltberger,ok,
zhong-2026-harness-runtime,harness-engineering,papers/academic/zhong-2026-harness-runtime.pdf,16,50376,0,AI Harness Engineering: A Runtime Substrate for Foundation-Model Software Agents,Hailin Zhong; Shengxin Zhu,ok,
ahn-2026-prompts-contracts,harness-engineering,papers/academic/ahn-2026-prompts-contracts.pdf,32,102527,0,From Prompts to Contracts: Harness Engineering for Auditable Enterprise LLM Agents,Joongho Ahn; Moonsoo Kim,ok,
lin-2026-agentic-harness-evolution,harness-engineering,papers/academic/lin-2026-agentic-harness-evolution.pdf,35,128412,0,Agentic Harness Engineering: Observability-Driven Automatic Evolution of Coding-Agent Harnesses,Jiahang Lin; Shichun Liu; Chengjun Pan; Lizhi Lin; Shihan Dou; Zhiheng Xi; Xuanjing Huang; Hang Yan; Zhenhua Han; Tao Gui; Yu-Gang Jiang,ok,
dhage-2026-deterministic-harness,harness-engineering,papers/academic/dhage-2026-deterministic-harness.pdf,9,28314,0,Harness Engineering for Predictable Agentic Systems: An Empirical Study of Deterministic Execution Constraints,Saransh Dhage,ok,
jin-2026-heart-tool-primitives,harness-engineering,papers/academic/jin-2026-heart-tool-primitives.pdf,21,72958,0,Harness Engineering in LLM Tool Use via Agent-Native Reusable Tool Primitives,Haibo Jin; Suijin Wang; Xucheng Yu; Haojing Luo; Haohan Wang,ok,
ruaibox-2026-agent-systems-harness,harness-engineering,papers/academic/ruaibox-2026-agent-systems-harness.pdf,62,262600,0,,,ok,
hariri-2026-test-time-scaling-survey,foundations,papers/academic/hariri-2026-test-time-scaling-survey.pdf,54,182096,0,"Test-Time Scaling in Reasoning LLMs: Inference Regimes, Evaluation, and Reproducibility",Mohsen Hariri; Weicong Chen; Nahal Shahini; Vikash Singh; Kai Ye; Amirhossein Samandar; Debargha Ganguly; Sreehari Sankar; Yanyan Zhang; Shouren Wang; Jerry Peng; Biyao Zhang; Michael Hinczewski; Vipin Chaudhary,ok,
xu-2026-polar,harness-engineering,papers/academic/xu-2026-polar.pdf,17,46566,0,Polar: Agentic RL on Any Harness at Scale,Binfeng Xu; Hao Zhang; Shaokun Zhang; Songyang Han; Mingjie Liu; Jian Hu; Shizhe Diao; Zhenghui Jin; Yunheng Zou; Michael Demoret; Jan Kautz; Yi Dong,ok,
yao-2023-react,tool-use,papers/academic/yao-2023-react.pdf,33,110055,0,,,ok,
karpas-2022-mrkl,tool-use,papers/academic/karpas-2022-mrkl.pdf,19,36151,0,,,ok,
schick-2023-toolformer,tool-use,papers/academic/schick-2023-toolformer.pdf,17,71922,0,,,ok,
paranjape-2023-art,tool-use,papers/academic/paranjape-2023-art.pdf,26,96684,0,,,ok,
shen-2023-hugginggpt,tool-use,papers/academic/shen-2023-hugginggpt.pdf,27,93484,0,,,ok,
li-2023-api-bank,tool-use,papers/academic/li-2023-api-bank.pdf,15,56821,0,,,ok,
patil-2023-gorilla,tool-use,papers/academic/patil-2023-gorilla.pdf,18,60885,0,,,ok,
song-2023-restgpt,tool-use,papers/academic/song-2023-restgpt.pdf,25,75055,0,,,ok,
qin-2023-toolllm,tool-use,papers/academic/qin-2023-toolllm.pdf,24,83572,0,,,ok,
patil-2025-bfcl,tool-use,papers/academic/patil-2025-bfcl.pdf,22,86534,0,The Berkeley Function Calling Leaderboard (BFCL): From Tool Use to Agentic Evaluation of Large Language Models,"Shishir G. Patil, Huanzhi Mao, Fanjia Yan, Charlie Cheng-Jie Ji, Vishnu Suresh, Ion Stoica, Joseph E. Gonzalez",ok,
xu-2023-rewoo,tool-use,papers/academic/xu-2023-rewoo.pdf,25,78816,0,,,ok,
wang-2022-self-consistency,search-and-verification,papers/academic/wang-2022-self-consistency.pdf,24,90721,0,,,ok,
yao-2023-tree-of-thoughts,search-and-verification,papers/academic/yao-2023-tree-of-thoughts.pdf,14,59373,0,,,ok,
hao-2023-rap,search-and-verification,papers/academic/hao-2023-rap.pdf,20,74893,0,,,ok,
besta-2024-graph-of-thoughts,search-and-verification,papers/academic/besta-2024-graph-of-thoughts.pdf,63,172280,0,,,ok,
zhou-2024-lats,search-and-verification,papers/academic/zhou-2024-lats.pdf,23,95911,0,"Language Agent Tree Search Unifies Reasoning, Acting, and Planning in Language Models","Andy Zhou, Kai Yan, Michal Shlapentokh-Rothman, Haohan Wang, Yu-Xiong Wang",ok,
prasad-2024-adapt,search-and-verification,papers/academic/prasad-2024-adapt.pdf,27,109882,0,,,ok,
shinn-2023-reflexion,search-and-verification,papers/academic/shinn-2023-reflexion.pdf,19,59481,0,,,ok,
madaan-2023-self-refine,search-and-verification,papers/academic/madaan-2023-self-refine.pdf,54,125027,0,,,ok,
gou-2024-critic,search-and-verification,papers/academic/gou-2024-critic.pdf,78,222891,0,,,ok,
chen-2024-self-debug,search-and-verification,papers/academic/chen-2024-self-debug.pdf,78,193519,0,,,ok,
huang-2024-cannot-self-correct,search-and-verification,papers/academic/huang-2024-cannot-self-correct.pdf,17,57879,0,,,ok,
stechly-2024-self-verification-limits,search-and-verification,papers/academic/stechly-2024-self-verification-limits.pdf,53,136657,0,,,ok,
lightman-2023-verify-step,search-and-verification,papers/academic/lightman-2023-verify-step.pdf,29,53177,0,,,ok,
snell-2024-test-time-compute,search-and-verification,papers/academic/snell-2024-test-time-compute.pdf,37,91846,0,,,ok,
brown-2024-language-monkeys,search-and-verification,papers/academic/brown-2024-language-monkeys.pdf,27,76196,0,,,ok,
chen-2021-codex-passk,mathematics-and-evaluation,papers/academic/chen-2021-codex-passk.pdf,35,154328,0,Evaluating Large Language Models Trained on Code,"Mark Chen, Jerry Tworek, Heewoo Jun, Qiming Yuan, Henrique Ponde de Oliveira Pinto, Jared Kaplan, Harri Edwards, Yuri Burda, Nicholas Joseph, Greg Brockman, Alex Ray, Raul Puri, Gretchen Krueger, Michael Petrov, Heidy Khlaaf, Girish Sastry, Pamela Mishkin, Brooke Chan, Scott Gray, Nick Ryder, Mikhail Pavlov, Alethea Power, Lukasz Kaiser, Mohammad Bavarian, Clemens Winter, Philippe Tillet, Felipe Petroski Such, Dave Cummings, Matthias Plappert, Fotios Chantzis, Elizabeth Barnes, Ariel Herbert-Voss, William Hebgen Guss, Alex Nichol, Alex Paino, Nikolas Tezak, Jie Tang, Igor Babuschkin, Suchir Balaji, Shantanu Jain, William Saunders, Christopher Hesse, Andrew N. Carr, Jan Leike, Josh Achiam, Vedant Misra, Evan Morikawa, Alec Radford, Matthew Knight, Miles Brundage, Mira Murati, Katie Mayer, Peter Welinder, Bob McGrew, Dario Amodei, Sam McCandlish, Ilya Sutskever, Wojciech Zaremba",ok,
park-2023-generative-agents,memory-and-context,papers/academic/park-2023-generative-agents.pdf,22,130391,0,,,ok,
zhong-2023-memorybank,memory-and-context,papers/academic/zhong-2023-memorybank.pdf,11,44790,0,,,ok,
wang-2023-voyager,memory-and-context,papers/academic/wang-2023-voyager.pdf,42,128250,0,,,ok,
